achievement_id,chain_id,step_index,type,target,title,description,reward_crystal,reward_gold
1001,1,1,mine_any,5,광물 채굴 1,광물 누적 5회 채굴,,50
1002,1,2,mine_any,20,광물 채굴 2,광물 누적 20회 채굴,,100
1003,1,3,mine_any,40,광물 채굴 3,광물 누적 40회 채굴,10,200
1004,1,4,mine_any,60,광물 채굴 4,광물 누적 60회 채굴,10,400
1005,1,5,mine_any,80,광물 채굴 5,광물 누적 80회 채굴,10,800
1006,1,6,mine_any,100,광물 채굴 6,광물 누적 100회 채굴,20,1600
1007,1,7,mine_any,200,광물 채굴 7,광물 누적 200회 채굴,20,3200
1008,1,8,mine_any,300,광물 채굴 8,광물 누적 300회 채굴,20,6400
1009,1,9,mine_any,400,광물 채굴 9,광물 누적 400회 채굴,20,12800
1010,1,10,mine_any,500,광물 채굴 10,광물 누적 500회 채굴,40,25600
1011,1,11,mine_any,700,광물 채굴 11,광물 누적 700회 채굴,40,51200
1012,1,12,mine_any,900,광물 채굴 12,광물 누적 900회 채굴,40,76800
1013,1,13,mine_any,1100,광물 채굴 13,광물 누적 1100회 채굴,40,102400
1014,1,14,mine_any,1300,광물 채굴 14,광물 누적 1300회 채굴,40,128000
1015,1,15,mine_any,1500,광물 채굴 15,광물 누적 1500회 채굴,80,153600
1016,1,16,mine_any,2000,광물 채굴 16,광물 누적 2000회 채굴,80,204800
1017,1,17,mine_any,2500,광물 채굴 17,광물 누적 2500회 채굴,80,256000
1018,1,18,mine_any,3000,광물 채굴 18,광물 누적 3000회 채굴,80,307200
1019,1,19,mine_any,3500,광물 채굴 19,광물 누적 3500회 채굴,80,358400
1020,1,20,mine_any,4000,광물 채굴 20,광물 누적 4000회 채굴,80,409600
1021,1,21,mine_any,4500,광물 채굴 21,광물 누적 4500회 채굴,80,460800
1022,1,22,mine_any,5000,광물 채굴 22,광물 누적 5000회 채굴,160,512000
1023,1,23,mine_any,6000,광물 채굴 23,광물 누적 6000회 채굴,160,614400
1024,1,24,mine_any,7000,광물 채굴 24,광물 누적 7000회 채굴,160,716800
1025,1,25,mine_any,8000,광물 채굴 25,광물 누적 8000회 채굴,160,819200
1026,1,26,mine_any,9000,광물 채굴 26,광물 누적 9000회 채굴,160,921600
1027,1,27,mine_any,10000,광물 채굴 27,광물 누적 10000회 채굴,320,1024000
2001,2,1,play_time,60,플레이 타임 1,누적 접속 시간 1분 달성,10,
2002,2,2,play_time,600,플레이 타임 2,누적 접속 시간 10분 달성,10,
2003,2,3,play_time,1800,플레이 타임 3,누적 접속 시간 30분 달성,20,
2004,2,4,play_time,3600,플레이 타임 4,누적 접속 시간 1시간 달성,30,
2005,2,5,play_time,7200,플레이 타임 5,누적 접속 시간 2시간 달성,40,
2006,2,6,play_time,10800,플레이 타임 6,누적 접속 시간 3시간 달성,50,
2007,2,7,play_time,21600,플레이 타임 7,누적 접속 시간 6시간 달성,60,
2008,2,8,play_time,43200,플레이 타임 8,누적 접속 시간 12시간 달성,70,
2009,2,9,play_time,86400,플레이 타임 9,누적 접속 시간 24시간 달성,80,
2010,2,10,play_time,172800,플레이 타임 10,누적 접속 시간 48시간 달성,90,
2011,2,11,play_time,259200,플레이 타임 11,누적 접속 시간 72시간 달성,100,
2012,2,12,play_time,324000,플레이 타임 12,누적 접속 시간 96시간 달성,110,
2013,2,13,play_time,397440,플레이 타임 13,누적 접속 시간 120시간 달성,120,
