floor,mineral_info_id,hp,reward_gold,reward_crystal,biome_id
1,10001,600,100,10,1
2,10001,730,100,10,1
3,10001,888,100,10,1
4,10001,1080,200,10,1
5,10001,1314,200,10,1
6,10002,1599,200,10,1
7,10002,1945,300,10,1
8,10002,2366,300,10,1
9,10002,2878,400,10,1
10,10002,3502,400,10,1
11,10003,4260,500,20,1
12,10003,5182,600,20,1
13,10003,6304,600,20,1
14,10003,7669,800,20,1
15,10003,9330,900,20,1
16,10004,11350,900,20,1
17,10004,13808,1200,20,1
18,10004,16797,1400,20,1
19,10004,20435,1400,20,1
20,10004,24859,1700,20,1
21,10005,30242,2000,30,2
22,10005,36790,2100,30,2
23,10005,44757,2500,30,2
24,10005,54448,2800,30,2
25,10005,66237,3200,30,2
26,10006,80580,3600,30,2
27,10006,98028,4100,30,2
28,10006,119254,4600,30,2
29,10006,145076,5100,30,2
30,10006,176489,5600,30,2
31,10007,214705,6100,40,2
32,10007,261195,6500,40,2
33,10007,317751,6900,40,2
34,10007,386554,7400,40,2
35,10007,470255,8200,40,2
36,10008,572080,9100,40,2
37,10008,695952,10400,40,2
38,10008,846647,12000,40,2
39,10008,1029972,13700,40,2
40,10008,1252992,15700,40,2
41,10009,1524303,17800,50,3
42,10009,1854362,20700,50,3
43,10009,2255888,24100,50,3
44,10009,2744356,27900,50,3
45,10009,3338593,32300,50,3
46,10010,4061500,37600,50,3
47,10010,4940939,43600,50,3
48,10010,6010803,50600,50,3
49,10010,7312325,58500,50,3
50,10010,8895666,67500,50,3
51,10011,10821850,77600,60,3
52,10011,13165110,88900,60,3
53,10011,16015758,101400,60,3
54,10011,19483658,116900,60,3
55,10011,23702465,134300,60,3
56,10012,28834772,153800,60,3
57,10012,35078380,175400,60,3
58,10012,42673919,199100,60,3
59,10012,51914124,225000,60,3
60,10012,63155116,252600,60,3
61,10013,76830125,281700,70,4
62,10013,93466192,311600,70,4
63,10013,113704474,350600,70,4
64,10013,138324961,391900,70,4
65,10013,168276535,434700,70,4
66,10014,204713539,477700,70,4
67,10014,249040266,539600,70,4
68,10014,302965081,605900,70,4
69,10014,368566265,675700,70,4
70,10014,448372105,784700,70,4
71,10015,545458346,909100,80,4
72,10015,663566719,1050600,80,4
73,10015,807249158,1210900,80,4
74,10015,982043229,1391200,80,4
75,10015,1194685549,1592900,80,4
76,10016,1453371418,1816700,80,4
77,10016,1768070671,2062700,80,4
78,10016,2150911913,2366000,80,4
79,10016,2616649964,2703900,80,4
80,10016,3183234512,3077100,80,4
81,10017,3872501900,3485300,90,5
82,10017,4711016707,3925800,90,5
83,10017,5731095552,4489400,90,5
84,10017,6972052587,5112800,90,5
85,10017,8481714681,5795800,90,5
86,10018,10318264676,6534900,90,5
87,10018,12552483776,7322300,90,5
88,10018,15270479475,8271500,90,5
89,10018,18577004165,9288500,90,5
90,10018,22599492328,10358100,90,5
91,10019,27492971900,11455400,100,5
92,10019,33446039094,12542300,100,5
93,10019,40688126956,13901800,100,5
94,10019,49498347787,15262000,100,5
95,10019,60216250217,16559500,100,5
96,10020,73254905513,17703300,100,5
97,10020,89116827474,18566000,100,5
98,10020,108413339468,19875800,100,5
99,10020,131888135022,20882300,100,5
100,10020,160445940000,21392800,100,5
