package_id,entry_id,reward_type,reward_ref_id,amount,weight,group_id
1001,1,gold,,100,,
1002,1,gold,,1000,,
1003,1,gold,,10000,,
1004,1,gold,,100000,,
1005,1,gold,,1000000,,
1006,1,gold,,10000000,,
1101,1,crystal,,10,,
1102,1,crystal,,50,,
1103,1,crystal,,100,,
1104,1,crystal,,500,,
1105,1,crystal,,1000,,
1106,1,crystal,,5000,,
100001,1,gem,1,1,7600,100001
100001,2,gem,2,1,7600,100001
100001,3,gem,3,1,7600,100001
100001,4,gem,101,1,2000,100001
100001,5,gem,102,1,2000,100001
100001,6,gem,103,1,2000,100001
100001,7,gem,201,1,345,100001
100001,8,gem,202,1,345,100001
100001,9,gem,203,1,345,100001
100001,10,gem,301,1,50,100001
100001,11,gem,302,1,50,100001
100001,12,gem,303,1,50,100001
100001,13,gem,401,1,5,100001
100001,14,gem,402,1,5,100001
100001,15,gem,403,1,5,100001
100002,1,gem,101,1,7600,100002
100002,2,gem,102,1,7600,100002
100002,3,gem,103,1,7600,100002
100002,4,gem,201,1,2000,100002
100002,5,gem,202,1,2000,100002
100002,6,gem,203,1,2000,100002
100002,7,gem,301,1,345,100002
100002,8,gem,302,1,345,100002
100002,9,gem,303,1,345,100002
100002,10,gem,401,1,50,100002
100002,11,gem,402,1,50,100002
100002,12,gem,403,1,50,100002
100003,1,gem,201,1,7600,100003
100003,2,gem,202,1,7600,100003
100003,3,gem,203,1,7600,100003
100003,4,gem,301,1,2000,100003
100003,5,gem,302,1,2000,100003
100003,6,gem,303,1,2000,100003
100003,7,gem,401,1,345,100003
100003,8,gem,402,1,345,100003
100003,9,gem,403,1,345,100003
101001,1,gem,101,1,,
101001,2,gem,102,1,,
101001,3,gem,103,1,,
101002,1,gem,201,1,,
101002,2,gem,202,1,,
101002,3,gem,203,1,,
101003,1,gem,301,1,,
101003,2,gem,302,1,,
101003,3,gem,303,1,,
