package_id,mode,roll_count,description
1001,FIXED,1,사용 시 100골드를 획득합니다.
1002,FIXED,1,"사용 시 1,000골드를 획득합니다."
1003,FIXED,1,"사용 시 10,000골드를 획득합니다."
1004,FIXED,1,"사용 시 100,000골드를 획득합니다."
1005,FIXED,1,"사용 시 1,000,000골드를 획득합니다."
1006,FIXED,1,"사용 시 10,000,000골드를 획득합니다."
1101,FIXED,1,사용시 10크리스탈을 획득합니다.
1102,FIXED,1,사용시 50크리스탈을 획득합니다.
1103,FIXED,1,사용시 100크리스탈을 획득합니다.
1104,FIXED,1,사용시 500크리스탈을 획득합니다.
1105,FIXED,1,"사용시 1,000크리스탈을 획득합니다."
1106,FIXED,1,"사용시 5,000크리스탈을 획득합니다."
100001,RANDOM,1,1~5티어 보석 랜덤 소환
100002,RANDOM,1,2~5티어 보석 랜덤 소환
100003,RANDOM,1,3~5티어 보석 랜덤 소환
101001,SELECT,1,2티어 보석 선택
101002,SELECT,1,3티어 보석 선택
101003,SELECT,1,4티어 보석 선택
