id,chain_id,step_index,type,target,title,description,reward_crystal
101,1,1,mine_any,100,광물 채굴 1,광물 누적 100회 채굴,50
102,1,2,mine_any,200,광물 채굴 2,광물 누적 200회 채굴,50
103,1,3,mine_any,300,광물 채굴 3,광물 누적 300회 채굴,50
104,1,4,mine_any,400,광물 채굴 4,광물 누적 400회 채굴,50
105,1,5,mine_any,500,광물 채굴 5,광물 누적 500회 채굴,50
201,2,1,play_time,3600,플레이 타임 1,누적 접속 시간 1시간 달성,50
202,2,2,play_time,18000,플레이 타임 2,누적 접속 시간 5시간 달성,100
203,2,3,play_time,36000,플레이 타임 3,누적 접속 시간 10시간 달성,200
301,3,1,upgrade_try,30,강화 도전 1,강화 30회 시도,50
302,3,2,upgrade_try,60,강화 도전 2,강화 60회 시도,50
303,3,3,upgrade_try,90,강화 도전 3,강화 90회 시도,50
304,3,4,upgrade_try,120,강화 도전 4,강화 120회 시도,50
305,3,5,upgrade_try,150,강화 도전 5,강화 150회 시도,50
401,4,1,gem_create,30,보석 수집 1,보석 30개 획득,100
402,4,2,gem_create,60,보석 수집 2,보석 60개 획득,100
403,4,3,gem_create,90,보석 수집 3,보석 90개 획득,100
404,4,4,gem_create,120,보석 수집 4,보석 120개 획득,100
405,4,5,gem_create,150,보석 수집 5,보석 150개 획득,100
501,5,1,gem_synthesis_try,10,보석 합성 1,보석 합성 10회,50
502,5,2,gem_synthesis_try,20,보석 합성 2,보석 합성 20회,50
503,5,3,gem_synthesis_try,30,보석 합성 3,보석 합성 30회,50
504,5,4,gem_synthesis_try,40,보석 합성 4,보석 합성 40회,50
505,5,5,gem_synthesis_try,50,보석 합성 5,보석 합성 50회,50
601,6,1,gem_conversion,5,보석 전환 1,보석 타입 전환 5회,30
602,6,2,gem_conversion,10,보석 전환 2,보석 타입 전환 10회,30
603,6,3,gem_conversion,15,보석 전환 3,보석 타입 전환 15회,30
604,6,4,gem_conversion,20,보석 전환 4,보석 타입 전환 20회,30
605,6,5,gem_conversion,25,보석 전환 5,보석 타입 전환 25회,30
701,7,1,gold,10000,골드 수집 1,누적 10000골드 획득,50
702,7,2,gold,100000,골드 수집 2,누적 100000골드 획득,50
703,7,3,gold,1000000,골드 수집 3,누적 1000000골드 획득,50
704,7,4,gold,10000000,골드 수집 4,누적 10000000골드 획득,50
705,7,5,gold,100000000,골드 수집 5,누적 100000000골드 획득,50
